Year,Parent Site,Site,Species,Value
18/07/2019,Main River Chew,Keynsham Park (Te),Roach,43.0
18/07/2019,Main River Chew,Keynsham Park (Te),Brown / sea trout,1.0
18/07/2019,Main River Chew,Keynsham Park (Te),European eels > elvers,2.0
18/07/2019,Main River Chew,Keynsham Park (Te),Minnow,
18/07/2019,Main River Chew,Keynsham Park (Te),Stone loach,
18/07/2019,Main River Chew,Keynsham Park (Te),Bullhead,
18/07/2019,Main River Chew,Keynsham Park (Te),3-spined stickleback,
18/07/2019,Main River Chew,Keynsham Park (Te),Barbel,1.0
17/07/2019,Main River Chew,Chewton Keynsham,Barbel,3.0
17/07/2019,Main River Chew,Chewton Keynsham,Gudgeon,17.0
17/07/2019,Main River Chew,Chewton Keynsham,Dace,1.0
17/07/2019,Main River Chew,Chewton Keynsham,Roach,2.0
17/07/2019,Main River Chew,Chewton Keynsham,European eels > elvers,4.0
17/07/2019,Main River Chew,Chewton Keynsham,3-spined stickleback,
17/07/2019,Main River Chew,Chewton Keynsham,Brown / sea trout,4.0
16/07/2019,Main River Chew,Pensford (Te),Grayling,4.0
16/07/2019,Main River Chew,Pensford (Te),Brown / sea trout,18.0
16/07/2019,Main River Chew,Pensford (Te),Dace,25.0
16/07/2019,Main River Chew,Pensford (Te),Gudgeon,9.0
16/07/2019,Main River Chew,Pensford (Te),Roach,1.0
16/07/2019,Main River Chew,Pensford (Te),European eel,7.0
16/07/2019,Main River Chew,Pensford (Te),Minnow,
16/07/2019,Main River Chew,Pensford (Te),Bullhead,
16/07/2019,Main River Chew,Pensford (Te),Stone loach,
16/07/2019,Main River Chew,Pensford (Te),Lamprey sp. ammocoetes,0.0
11/07/2019,Main River Chew,Compton Dando (Te),Brown / sea trout,26.0
11/07/2019,Main River Chew,Compton Dando (Te),Grayling,0.0
11/07/2019,Main River Chew,Compton Dando (Te),Atlantic salmon,7.0
11/07/2019,Main River Chew,Compton Dando (Te),Chub,4.0
11/07/2019,Main River Chew,Compton Dando (Te),Dace,2.0
11/07/2019,Main River Chew,Compton Dando (Te),European eels > elvers,0.0
11/07/2019,Main River Chew,Compton Dando (Te),Minnow,
11/07/2019,Main River Chew,Compton Dando (Te),Bullhead,
11/07/2019,Main River Chew,Compton Dando (Te),Stone loach,
11/07/2019,Main River Chew,Compton Dando (Te),3-spined stickleback,
03/07/2019,Main Bristol Frome,Eastville Park (Te),Perch,1.0
03/07/2019,Main Bristol Frome,Eastville Park (Te),Gudgeon,21.0
03/07/2019,Main Bristol Frome,Eastville Park (Te),Dace,78.0
03/07/2019,Main Bristol Frome,Eastville Park (Te),Chub,4.0
03/07/2019,Main Bristol Frome,Eastville Park (Te),Roach,80.0
03/07/2019,Main Bristol Frome,Eastville Park (Te),European eels > elvers,10.0
03/07/2019,Main Bristol Frome,Eastville Park (Te),Bullhead,
03/07/2019,Main Bristol Frome,Eastville Park (Te),Minnow,
03/07/2019,Main Bristol Frome,Eastville Park (Te),Stone loach,
03/07/2019,Main Bristol Frome,Eastville Park (Te),Brown / sea trout,7.0
03/07/2019,Main Bristol Frome,Eastville Park (Te),3-spined stickleback,
02/07/2019,Main River Chew,Stanton Drew (Te),Brown / sea trout,1.0
02/07/2019,Main River Chew,Stanton Drew (Te),Gudgeon,5.0
02/07/2019,Main River Chew,Stanton Drew (Te),Roach,0.0
02/07/2019,Main River Chew,Stanton Drew (Te),European eels > elvers,0.0
02/07/2019,Main River Chew,Stanton Drew (Te),Stone loach,
02/07/2019,Main River Chew,Stanton Drew (Te),Minnow,
02/07/2019,Main River Chew,Stanton Drew (Te),Bullhead,
02/07/2019,Main River Chew,Stanton Drew (Te),3-spined stickleback,
11/10/2018,By Brook main river,Weavern (Se-03),Bullhead,126.0
11/10/2018,By Brook main river,Weavern (Se-03),Minnow,107.0
11/10/2018,By Brook main river,Weavern (Se-03),Stone loach,49.0
11/10/2018,By Brook main river,Weavern (Se-03),Brown / sea trout,32.0
11/10/2018,By Brook main river,Weavern (Se-03),Lamprey sp. > ammocoete,10.0
11/10/2018,By Brook main river,Weavern (Se-03),Lamprey sp. ammocoetes,6.0
11/10/2018,By Brook main river,Weavern (Se-03),3-spined stickleback,100.0
09/10/2018,By Brook main river,Middlehill,Bullhead,53.0
09/10/2018,By Brook main river,Middlehill,Stone loach,3.0
09/10/2018,By Brook main river,Middlehill,Minnow,94.0
09/10/2018,By Brook main river,Middlehill,Grayling,7.0
09/10/2018,By Brook main river,Middlehill,Brown / sea trout,22.0
09/10/2018,By Brook main river,Middlehill,European eels > elvers,2.0
09/10/2018,By Brook main river,Middlehill,3-spined stickleback,0.0
31/05/2018,Cam Brook,Dunkerton (Se-04),Bullhead,162.0
31/05/2018,Cam Brook,Dunkerton (Se-04),Brown / sea trout,17.0
31/05/2018,Cam Brook,Dunkerton (Se-04),Minnow,3.0
16/05/2018,Wellow Brook,Mill Hill,Brown / sea trout,54.0
16/05/2018,Wellow Brook,Mill Hill,Bullhead,58.0
16/05/2018,Wellow Brook,Mill Hill,Stone loach,5.0
16/05/2018,Wellow Brook,Mill Hill,Lamprey sp. ammocoetes,0.0
16/05/2018,Wellow Brook,Mill Hill,Minnow,29.0
16/05/2018,Wellow Brook,Paglinch Farm,Brown / sea trout,12.0
16/05/2018,Wellow Brook,Paglinch Farm,Bullhead,95.0
16/05/2018,Wellow Brook,Paglinch Farm,3-spined stickleback,0.0
16/05/2018,Wellow Brook,Paglinch Farm,Minnow,1.0
09/05/2018,Wellow Brook,Welton (Se-04),Brown / sea trout,24.0
09/05/2018,Wellow Brook,Welton (Se-04),Bullhead,125.0
09/05/2018,Wellow Brook,Welton (Se-04),Lamprey sp. ammocoetes,3.0
09/05/2018,Wellow Brook,White Bridge,Brown / sea trout,6.0
09/05/2018,Wellow Brook,White Bridge,Bullhead,15.0
09/05/2018,Wellow Brook,White Bridge,3-spined stickleback,80.0
09/05/2018,Wellow Brook,White Bridge,Roach,0.0
05/10/2017,Main Somerset Frome,Welshmill,Roach,22.0
05/10/2017,Main Somerset Frome,Welshmill,Rudd,4.0
05/10/2017,Main Somerset Frome,Welshmill,Common bream,1.0
05/10/2017,Main Somerset Frome,Welshmill,Perch,2.0
05/10/2017,Main Somerset Frome,Welshmill,Chub,3.0
05/10/2017,Main Somerset Frome,Welshmill,Pike,1.0
05/10/2017,Main Somerset Frome,Welshmill,Gudgeon,2.0
05/10/2017,Main Somerset Frome,Welshmill,Stone loach,0.0
05/10/2017,Main Somerset Frome,Welshmill,3-spined stickleback,19.0
05/10/2017,Main Somerset Frome,Welshmill,Minnow,10.0
13/09/2017,Main Bristol Frome,Eastville Park (Te),Roach,15.0
05/09/2017,Bristol Avon main river,Chippenham (Te),Bleak,83.0
05/09/2017,Bristol Avon main river,Chippenham (Te),Chub,51.0
05/09/2017,Bristol Avon main river,Chippenham (Te),Dace,4.0
05/09/2017,Bristol Avon main river,Chippenham (Te),Gudgeon,10.0
05/09/2017,Bristol Avon main river,Chippenham (Te),Perch,6.0
05/09/2017,Bristol Avon main river,Chippenham (Te),Pike,3.0
05/09/2017,Bristol Avon main river,Chippenham (Te),Roach,182.0
05/09/2017,Bristol Avon main river,Chippenham (Te),European eels > elvers,1.0
05/09/2017,Bristol Avon main river,Chippenham (Te),3-spined stickleback,
05/09/2017,Bristol Avon main river,Chippenham (Te),Minnow,
05/09/2017,Bristol Avon main river,Chippenham (Te),Bullhead,
05/09/2017,Bristol Avon main river,Chippenham (Te),Stone loach,
30/08/2017,Bristol Avon main river,Melksham,Barbel,4.0
30/08/2017,Bristol Avon main river,Melksham,Bleak,31.0
30/08/2017,Bristol Avon main river,Melksham,Chub,38.0
30/08/2017,Bristol Avon main river,Melksham,Dace,22.0
30/08/2017,Bristol Avon main river,Melksham,Gudgeon,11.0
30/08/2017,Bristol Avon main river,Melksham,Perch,5.0
30/08/2017,Bristol Avon main river,Melksham,Pike,2.0
30/08/2017,Bristol Avon main river,Melksham,Roach,107.0
30/08/2017,Bristol Avon main river,Melksham,Lampetra sp. > ammocoete,1.0
30/08/2017,Bristol Avon main river,Melksham,Brown / sea trout,2.0
30/08/2017,Bristol Avon main river,Melksham,Bullhead,
30/08/2017,Bristol Avon main river,Melksham,Minnow,
30/08/2017,Bristol Avon main river,Melksham,Stone loach,
30/08/2017,Bristol Avon main river,Melksham,3-spined stickleback,
23/08/2017,Bristol Avon main river,Great Somerford (Te),Barbel,3.0
23/08/2017,Bristol Avon main river,Great Somerford (Te),Bleak,11.0
23/08/2017,Bristol Avon main river,Great Somerford (Te),Chub,39.0
23/08/2017,Bristol Avon main river,Great Somerford (Te),Dace,20.0
23/08/2017,Bristol Avon main river,Great Somerford (Te),Gudgeon,7.0
23/08/2017,Bristol Avon main river,Great Somerford (Te),Roach,24.0
23/08/2017,Bristol Avon main river,Great Somerford (Te),Perch,2.0
23/08/2017,Bristol Avon main river,Great Somerford (Te),Brown / sea trout,16.0
23/08/2017,Bristol Avon main river,Great Somerford (Te),Rainbow trout,9.0
23/08/2017,Bristol Avon main river,Great Somerford (Te),European eels > elvers,0.0
23/08/2017,Bristol Avon main river,Lacock (Te),Barbel,6.0
23/08/2017,Bristol Avon main river,Lacock (Te),Chub,20.0
23/08/2017,Bristol Avon main river,Lacock (Te),Dace,1.0
23/08/2017,Bristol Avon main river,Lacock (Te),Gudgeon,8.0
23/08/2017,Bristol Avon main river,Lacock (Te),Perch,3.0
23/08/2017,Bristol Avon main river,Lacock (Te),Roach,35.0
23/08/2017,Bristol Avon main river,Lacock (Te),Minnow,
23/08/2017,Bristol Avon main river,Lacock (Te),Bullhead,
23/08/2017,Bristol Avon main river,Lacock (Te),Stone loach,
23/08/2017,Bristol Avon main river,Lacock (Te),Pike,1.0
23/08/2017,Bristol Avon main river,Lacock (Te),European eels > elvers,1.0
23/08/2017,Bristol Avon main river,Lacock (Te),3-spined stickleback,
02/08/2017,Main Somerset Frome,Vernal Lodge,Chub,9.0
02/08/2017,Main Somerset Frome,Vernal Lodge,Dace,3.0
02/08/2017,Main Somerset Frome,Vernal Lodge,Gudgeon,26.0
02/08/2017,Main Somerset Frome,Vernal Lodge,Minnow,207.0
02/08/2017,Main Somerset Frome,Vernal Lodge,Perch,1.0
02/08/2017,Main Somerset Frome,Vernal Lodge,Pike,1.0
02/08/2017,Main Somerset Frome,Vernal Lodge,Roach,14.0
02/08/2017,Main Somerset Frome,Vernal Lodge,Stone loach,7.0
02/08/2017,Main Somerset Frome,Vernal Lodge,Bullhead,1.0
02/08/2017,Main Somerset Frome,Vernal Lodge,3-spined stickleback,4.0
24/07/2017,Mells Stream,Edford Woods (Se-01),Brown / sea trout,80.0
24/07/2017,Mells Stream,Edford Woods (Se-01),Bullhead,73.0
24/07/2017,Mells Stream,Edford Woods (Se-01),Lamprey sp. ammocoetes,0.0
18/07/2017,Mells Stream,Old Down Wood,Brown / sea trout,68.0
18/07/2017,Mells Stream,Old Down Wood,Minnow,5.0
18/07/2017,Mells Stream,Old Down Wood,Bullhead,57.0
18/07/2017,Mells Stream,Old Down Wood,Roach,1.0
18/07/2017,Mells Stream,Old Down Wood,Stone loach,2.0
18/07/2017,Mells Stream,Old Down Wood,European eels > elvers,1.0
11/07/2017,Main River Marden,Sprays Farm (Se-02),Brown / sea trout,66.0
11/07/2017,Main River Marden,Sprays Farm (Se-02),3-spined stickleback,2.0
11/07/2017,Main River Marden,Sprays Farm (Se-02),Bullhead,8.0
11/07/2017,River's Brook,Hayle Farm (Se-02),Brown / sea trout,8.0
11/07/2017,River's Brook,Hayle Farm (Se-02),3-spined stickleback,2.0
11/07/2017,River's Brook,Hayle Farm (Se-02),Bullhead,50.0
18/10/2016,Main River Biss,Penleigh Farm (Se-03),Brown / sea trout,5.0
18/10/2016,Main River Biss,Penleigh Farm (Se-03),Bullhead,117.0
18/10/2016,Main River Biss,Penleigh Farm (Se-03),3-spined stickleback,3.0
11/10/2016,Main River Marden,Calne STW (Te),Brown / sea trout,37.0
11/10/2016,Main River Marden,Calne STW (Te),Dace,2.0
11/10/2016,Main River Marden,Calne STW (Te),Perch,1.0
11/10/2016,Main River Marden,Calne STW (Te),Feral [brown] goldfish,0.0
11/10/2016,Main River Marden,Calne STW (Te),Bullhead,
11/10/2016,Main River Marden,Calne STW (Te),Stone loach,
11/10/2016,Sherston Avon,D/s Hyam Farm,Dace,1.0
11/10/2016,Sherston Avon,D/s Hyam Farm,Minnow,166.0
11/10/2016,Sherston Avon,D/s Hyam Farm,Bullhead,42.0
11/10/2016,Sherston Avon,D/s Hyam Farm,Brown / sea trout,22.0
11/10/2016,Sherston Avon,D/s Hyam Farm,3-spined stickleback,2.0
11/10/2016,Sherston Avon,D/s Hyam Farm,Stone loach,7.0
29/09/2016,Easton Grey,Sherston Avon at Easton Grey - Site 1 Bottom Riffl,Brown / sea trout,34.0
29/09/2016,Easton Grey,Sherston Avon at Easton Grey - Site 1 Bottom Riffl,Bullhead,
29/09/2016,Easton Grey,Sherston Avon at Easton Grey - Site 1 Bottom Riffl,Minnow,
29/09/2016,Easton Grey,Sherston Avon at Easton Grey - Site 1 Bottom Riffl,Stone loach,
29/09/2016,Easton Grey,Sherston Avon at Easton Grey - Site 1 Bottom Riffl,3-spined stickleback,
29/09/2016,Tetbury Avon,Merchants Farm,Lamprey sp. ammocoetes,1.0
29/09/2016,Tetbury Avon,Merchants Farm,Lamprey sp. > ammocoete,0.0
29/09/2016,Tetbury Avon,Merchants Farm,Brown / sea trout,61.0
29/09/2016,Tetbury Avon,Merchants Farm,3-spined stickleback,
29/09/2016,Tetbury Avon,Merchants Farm,Bullhead,
29/09/2016,Tetbury Avon,Merchants Farm,Minnow,
29/09/2016,Tetbury Avon,Merchants Farm,Stone loach,
27/09/2016,Sherston Avon,Easton Town Bridge (Se-05),Brown / sea trout,17.0
27/09/2016,Sherston Avon,Easton Town Bridge (Se-05),Bullhead,
27/09/2016,Sherston Avon,Easton Town Bridge (Se-05),Minnow,
27/09/2016,Sherston Avon,Easton Town Bridge (Se-05),Stone loach,
27/09/2016,Sherston Avon,Easton Town Bridge (Se-05),3-spined stickleback,
27/09/2016,Sherston Avon,Easton Town Bridge (Se-05),Lamprey sp. > ammocoete,1.0
27/09/2016,Tetbury Avon,Back Bridge,Brown / sea trout,18.0
27/09/2016,Tetbury Avon,Back Bridge,Lamprey sp. > ammocoete,1.0
27/09/2016,Tetbury Avon,Back Bridge,Bullhead,
27/09/2016,Tetbury Avon,Back Bridge,Minnow,
27/09/2016,Tetbury Avon,Back Bridge,3-spined stickleback,
27/09/2016,Tetbury Avon,Back Bridge,Stone loach,
06/09/2016,Bristol Avon main river,Chippenham (Te),Barbel,4.0
06/09/2016,Bristol Avon main river,Chippenham (Te),Bleak,50.0
06/09/2016,Bristol Avon main river,Chippenham (Te),Chub,82.0
06/09/2016,Bristol Avon main river,Chippenham (Te),Dace,16.0
06/09/2016,Bristol Avon main river,Chippenham (Te),Gudgeon,57.0
06/09/2016,Bristol Avon main river,Chippenham (Te),Perch,26.0
06/09/2016,Bristol Avon main river,Chippenham (Te),Pike,3.0
06/09/2016,Bristol Avon main river,Chippenham (Te),Roach,477.0
06/09/2016,Bristol Avon main river,Chippenham (Te),European eels > elvers,1.0
06/09/2016,Bristol Avon main river,Chippenham (Te),Bullhead,
06/09/2016,Bristol Avon main river,Chippenham (Te),Minnow,
06/09/2016,Bristol Avon main river,Chippenham (Te),Stone loach,
06/09/2016,Bristol Avon main river,Chippenham (Te),3-spined stickleback,
06/09/2016,Bristol Avon main river,Chippenham (Te),Common bream,1.0
06/09/2016,Bristol Avon main river,Chippenham (Te),Silver bream,0.0
01/09/2016,Bristol Avon main river,Christian Malford (Te),Barbel,4.0
01/09/2016,Bristol Avon main river,Christian Malford (Te),Bleak,24.0
01/09/2016,Bristol Avon main river,Christian Malford (Te),Chub,23.0
01/09/2016,Bristol Avon main river,Christian Malford (Te),Dace,40.0
01/09/2016,Bristol Avon main river,Christian Malford (Te),Gudgeon,15.0
01/09/2016,Bristol Avon main river,Christian Malford (Te),Perch,8.0
01/09/2016,Bristol Avon main river,Christian Malford (Te),Pike,2.0
01/09/2016,Bristol Avon main river,Christian Malford (Te),Roach,268.0
01/09/2016,Bristol Avon main river,Christian Malford (Te),European eels > elvers,1.0
01/09/2016,Bristol Avon main river,Christian Malford (Te),Stone loach,
01/09/2016,Bristol Avon main river,Christian Malford (Te),Minnow,
01/09/2016,Bristol Avon main river,Christian Malford (Te),Bullhead,
01/09/2016,Bristol Avon main river,Christian Malford (Te),3-spined stickleback,
31/08/2016,Bristol Avon main river,Melksham,Barbel,5.0
31/08/2016,Bristol Avon main river,Melksham,Bleak,38.0
31/08/2016,Bristol Avon main river,Melksham,Chub,40.0
31/08/2016,Bristol Avon main river,Melksham,Dace,32.0
31/08/2016,Bristol Avon main river,Melksham,Gudgeon,25.0
31/08/2016,Bristol Avon main river,Melksham,Perch,3.0
31/08/2016,Bristol Avon main river,Melksham,Pike,2.0
31/08/2016,Bristol Avon main river,Melksham,Roach,188.0
31/08/2016,Bristol Avon main river,Melksham,European eels > elvers,0.0
31/08/2016,Bristol Avon main river,Melksham,Bullhead,
31/08/2016,Bristol Avon main river,Melksham,Minnow,
31/08/2016,Bristol Avon main river,Melksham,Stone loach,
31/08/2016,Bristol Avon main river,Melksham,3-spined stickleback,
31/08/2016,Bristol Avon main river,Melksham,Silver bream,1.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Barbel,14.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Bleak,8.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Chub,60.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Dace,31.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Gudgeon,43.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Perch,0.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Pike,1.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Roach,2.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),European eels > elvers,0.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Brown / sea trout,28.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Rainbow trout,7.0
24/08/2016,Bristol Avon main river,Great Somerford (Te),Bullhead,
24/08/2016,Bristol Avon main river,Great Somerford (Te),Minnow,
24/08/2016,Bristol Avon main river,Great Somerford (Te),Stone loach,
24/08/2016,Bristol Avon main river,Great Somerford (Te),3-spined stickleback,
23/08/2016,Bristol Avon main river,Lacock (Te),Barbel,9.0
23/08/2016,Bristol Avon main river,Lacock (Te),Bleak,1.0
23/08/2016,Bristol Avon main river,Lacock (Te),Chub,9.0
23/08/2016,Bristol Avon main river,Lacock (Te),Dace,7.0
23/08/2016,Bristol Avon main river,Lacock (Te),Gudgeon,13.0
23/08/2016,Bristol Avon main river,Lacock (Te),Perch,0.0
23/08/2016,Bristol Avon main river,Lacock (Te),Pike,3.0
23/08/2016,Bristol Avon main river,Lacock (Te),Roach,41.0
23/08/2016,Bristol Avon main river,Lacock (Te),European eels > elvers,2.0
23/08/2016,Bristol Avon main river,Lacock (Te),Bullhead,
23/08/2016,Bristol Avon main river,Lacock (Te),Minnow,
23/08/2016,Bristol Avon main river,Lacock (Te),Stone loach,
23/08/2016,Bristol Avon main river,Lacock (Te),3-spined stickleback,
18/08/2016,Main Somerset Frome,Tellisford (Te06),Chub,33.0
18/08/2016,Main Somerset Frome,Tellisford (Te06),Dace,23.0
18/08/2016,Main Somerset Frome,Tellisford (Te06),Roach,9.0
18/08/2016,Main Somerset Frome,Tellisford (Te06),Perch,3.0
18/08/2016,Main Somerset Frome,Tellisford (Te06),European eels > elvers,1.0
18/08/2016,Main Somerset Frome,Tellisford (Te06),Stone loach,
18/08/2016,Main Somerset Frome,Tellisford (Te06),Minnow,
18/08/2016,Main Somerset Frome,Tellisford (Te06),Bullhead,
18/08/2016,Main Somerset Frome,Tellisford (Te06),3-spined stickleback,
18/08/2016,Main Somerset Frome,Tellisford (Te06),Brown / sea trout,8.0
18/08/2016,Main Somerset Frome,Tellisford (Te06),Rainbow trout,11.0
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Barbel,1.0
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Chub,25.0
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Dace,22.0
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Gudgeon,22.0
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Perch,2.0
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Pike,0.0
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Roach,93.0
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),European eels > elvers,0.0
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Brown / sea trout,0.0
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Bullhead,
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Minnow,
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),Stone loach,
17/08/2016,Main Somerset Frome,Snarlton Farm (Te),3-spined stickleback,
10/08/2016,Main Somerset Frome,Longhouse Farm,Dace,2.0
10/08/2016,Main Somerset Frome,Longhouse Farm,Common bream,2.0
10/08/2016,Main Somerset Frome,Longhouse Farm,Roach,92.0
