Year,Units,Subject,Sex,Unit measure,Unit multiplier,Observation status,Value
2013,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,84.0
2013,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,83.0
2013,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,85.0
2014,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,86.0
2014,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,85.0
2014,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,88.0
2014,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,83.0
2014,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,83.0
2014,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,83.0
2015,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,87.0
2015,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,84.0
2015,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,90.0
2015,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,85.0
2015,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,84.0
2015,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,86.0
2016,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,67.0
2016,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,63.0
2016,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,70.0
2016,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,68.0
2016,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,69.0
2016,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,68.0
2017,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,72.0
2017,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,68.0
2017,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,76.0
2017,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,74.0
2017,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,74.0
2017,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,74.0
2018,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,73.0
2018,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,71.0
2018,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,76.0
2018,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,75.0
2018,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,74.0
2018,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,75.0
