Year,Group,Ward name,GeoCode,Value
2019,Access to mobile broadband at home - Wards,Cotham,E05010895,28.13873274
2019,Access to mobile broadband at home - Wards,Eastville,E05010897,25.00198704
2019,Access to mobile broadband at home - Wards,Lockleaze,E05010908,25.05220044
2019,Access to mobile broadband at home - Wards,Bedminster,E05010887,24.53793175
2019,Access to mobile broadband at home - Wards,Filwood,E05010898,27.76255198
2019,Access to mobile broadband at home - Wards,Hillfields,E05010903,32.52245088
2019,Access to mobile broadband at home - Wards,Horfield,E05010904,25.18321973
2019,Access to mobile broadband at home - Wards,Stockwood,E05010915,36.21193902
2019,Access to mobile broadband at home - Wards,Frome Vale,E05010899,35.62654382
2019,Access to mobile broadband at home - Wards,Easton,E05010896,31.56927785
2019,Access to mobile broadband at home - Wards,Henbury & Brentry,E05010901,22.85532791
2019,Access to mobile broadband at home - Wards,Hengrove & Whitchurch Park,E05010902,41.10755795
2019,Access to mobile broadband at home - Wards,Lawrence Hill,E05010907,32.79937462
2019,Access to mobile broadband at home - Wards,St George West,E05010912,33.49612447
2019,Access to mobile broadband at home - Wards,Avonmouth & Lawrence Weston,E05010886,39.43123722
2019,Access to mobile broadband at home - Wards,Brislington West,E05010891,29.29461548
2018,Access to mobile broadband at home - Wards,Easton,E05010896,21.08134877
2018,Access to mobile broadband at home - Wards,Hengrove & Whitchurch Park,E05010902,32.39067453
2018,Access to mobile broadband at home - Wards,Horfield,E05010904,27.4402026
2018,Access to mobile broadband at home - Wards,Hotwells & Harbourside,E05010905,19.94088255
2018,Access to mobile broadband at home - Wards,Knowle,E05010906,31.65067034
2018,Access to mobile broadband at home - Wards,St George Central,E05010910,27.72350324
2018,Access to mobile broadband at home - Wards,Bishopston & Ashley Down,E05010888,27.36250213
2018,Access to mobile broadband at home - Wards,Brislington East,E05010890,25.40893003
2018,Access to mobile broadband at home - Wards,Bedminster,E05010887,17.8210058
2018,Access to mobile broadband at home - Wards,Brislington West,E05010891,20.23531626
2018,Access to mobile broadband at home - Wards,Clifton,E05010893,19.29179361
2018,Access to mobile broadband at home - Wards,Hartcliffe & Withywood,E05010900,34.46017597
2018,Access to mobile broadband at home - Wards,St George Troopers Hill,E05010911,34.26543376
2018,Access to mobile broadband at home - Wards,Lawrence Hill,E05010907,27.91427996
2018,Access to mobile broadband at home - Wards,Southmead,E05010913,20.41216488
2018,Access to mobile broadband at home - Wards,Windmill Hill,E05010918,30.03025614
2018,Access to mobile broadband at home - Wards,Ashley,E05010885,25.65195256
2018,Access to mobile broadband at home - Wards,Avonmouth & Lawrence Weston,E05010886,30.39874933
2018,Access to mobile broadband at home - Wards,Bishopsworth,E05010889,28.06102718
2018,Access to mobile broadband at home - Wards,Central,E05010892,34.14929224
2018,Access to mobile broadband at home - Wards,Eastville,E05010897,24.66910316
2018,Access to mobile broadband at home - Wards,Redland,E05010909,25.41001219
2018,Access to mobile broadband at home - Wards,Westbury-on-Trym & Henleaze,E05010917,28.61224681
2018,Access to mobile broadband at home - Wards,Cotham,E05010895,24.5789973
2018,Access to mobile broadband at home - Wards,Filwood,E05010898,32.52556372
2018,Access to mobile broadband at home - Wards,Henbury & Brentry,E05010901,31.22207532
2018,Access to mobile broadband at home - Wards,Hillfields,E05010903,32.1733358
2018,Access to mobile broadband at home - Wards,Southville,E05010914,26.47075553
2018,Access to mobile broadband at home - Wards,St George West,E05010912,22.81473842
2018,Access to mobile broadband at home - Wards,Stoke Bishop,E05010916,23.50378165
2018,Access to mobile broadband at home - Wards,Clifton Down,E05010894,22.3563845
2018,Access to mobile broadband at home - Wards,Frome Vale,E05010899,25.55816659
2018,Access to mobile broadband at home - Wards,Lockleaze,E05010908,25.77307483
2018,Access to mobile broadband at home - Wards,Stockwood,E05010915,27.84170521
